date,temp_max,temp_min,temp_mean,precipitation
2024-05-19,25.3,11.8,18.1,0.0
2024-05-20,20.9,14.2,17.5,2.1
2024-05-21,25.5,13.8,18.9,0.0
2024-05-22,23.2,14.0,17.8,0.0
2024-05-23,24.0,13.3,17.6,0.0
2024-05-24,24.8,14.0,18.8,0.0
2024-05-25,24.8,17.7,19.9,0.0
2024-05-26,22.5,15.3,18.5,7.1
2024-05-27,22.9,12.6,17.6,0.0
2024-05-28,23.8,11.7,17.8,0.0
2024-05-29,25.5,12.9,18.8,0.0
2024-05-30,23.1,14.0,18.7,0.0
2024-05-31,23.4,13.5,18.7,0.3
2024-06-01,25.8,15.1,19.7,1.7
2024-06-02,26.0,12.3,19.0,0.0
2024-06-03,27.3,13.8,20.6,0.0
2024-06-04,29.3,13.8,21.2,0.0
2024-06-05,29.7,16.0,22.4,0.0
2024-06-06,29.5,17.1,22.5,0.2
2024-06-07,27.2,15.2,21.0,0.0
2024-06-08,23.7,16.7,19.4,15.8
2024-06-09,27.3,15.3,20.8,0.0
2024-06-10,29.5,16.0,22.4,0.0
2024-06-11,30.4,18.5,23.0,0.0
2024-06-12,30.6,15.7,23.2,0.0
2024-06-13,31.8,18.2,24.6,0.0
2024-06-14,32.9,18.1,24.9,0.0
2024-06-15,27.7,20.2,22.7,7.2
2024-06-16,28.6,16.8,22.3,0.1
2024-06-17,28.8,16.6,22.3,0.0
2024-06-18,31.2,17.4,23.5,0.0
2024-06-19,34.7,18.0,26.2,0.0
2024-06-20,35.6,20.0,27.2,0.0
2024-06-21,32.6,21.3,26.4,0.0
2024-06-22,24.7,22.6,23.3,26.3
2024-06-23,28.6,20.7,24.0,7.2
2024-06-24,26.6,19.6,22.6,11.1
2024-06-25,24.9,16.2,20.9,1.0
2024-06-26,29.0,16.5,22.2,0.3
2024-06-27,30.1,18.9,24.5,0.0
2024-06-28,30.8,19.3,24.5,0.0
2024-06-29,32.7,19.4,25.4,34.5
2024-06-30,24.8,20.9,22.9,4.5
2024-07-01,29.8,20.3,24.1,0.0
2024-07-02,24.2,21.8,23.1,57.7
2024-07-03,26.5,22.6,24.1,5.5
2024-07-04,28.8,21.1,24.9,4.1
2024-07-05,24.8,21.1,23.1,1.9
2024-07-06,29.8,20.9,24.3,25.1
2024-07-07,27.3,19.3,23.4,18.1
2024-07-08,25.3,21.9,23.1,37.7
2024-07-09,26.4,20.5,23.2,8.3
2024-07-10,30.1,22.1,25.5,15.1
2024-07-11,27.1,21.2,23.6,0.4
2024-07-12,30.1,20.7,24.4,0.6
2024-07-13,31.1,21.8,25.8,5.6
2024-07-14,30.5,22.3,25.9,1.4
2024-07-15,30.8,22.0,26.4,0.3
2024-07-16,29.8,23.2,25.5,17.8
2024-07-17,26.9,22.3,24.7,89.6
2024-07-18,25.4,23.3,24.4,60.6
2024-07-19,29.0,23.1,25.2,1.2
2024-07-20,29.6,22.4,25.3,25.8
2024-07-21,29.0,22.7,25.5,7.4
2024-07-22,27.6,24.6,26.1,41.4
2024-07-23,26.5,23.7,24.9,26.2
2024-07-24,30.5,23.7,25.9,3.4
2024-07-25,31.9,23.1,27.2,5.5
2024-07-26,32.8,24.8,27.4,18.0
2024-07-27,30.0,25.2,27.0,39.4
2024-07-28,31.0,25.9,28.0,0.4
2024-07-29,28.3,25.3,26.6,2.1
2024-07-30,30.3,24.7,26.8,0.9
2024-07-31,31.3,24.7,27.4,0.7
2024-08-01,31.9,25.0,28.1,1.0
2024-08-02,30.1,25.3,27.4,11.1
2024-08-03,31.9,24.3,27.8,5.6
2024-08-04,33.4,24.1,28.9,0.0
2024-08-05,31.5,25.7,28.1,15.7
2024-08-06,31.0,24.9,27.7,3.2
2024-08-07,30.9,24.4,27.2,2.2
2024-08-08,29.4,23.2,26.4,6.5
2024-08-09,31.9,24.2,27.2,0.0
2024-08-10,32.1,24.2,27.8,0.0
2024-08-11,32.7,25.0,28.5,0.4
